# h00,h01,h02,h10,h11,h12,h20,h21,h22
-4.926316440105438232e-03,-1.402985304594039917e-02,1.052688434720039368e-02,-1.082334015518426895e-02,-1.101074926555156708e-02,-2.945542894303798676e-02,-3.709859400987625122e-02,1.628616452217102051e-02,-5.621536076068878174e-02
1.621441915631294250e-03,-3.174831345677375793e-02,-8.678352460265159607e-03,5.175211280584335327e-02,-4.875943660736083984e-01,-3.807758167386054993e-02,5.448741465806961060e-02,-1.568865589797496796e-02,-1.048986241221427917e-02
-6.843163818120956421e-02,3.318864852190017700e-02,-1.117454608902335167e-03,5.041595548391342163e-02,-3.528320416808128357e-02,2.767415344715118408e-02,-5.498013924807310104e-03,8.687487244606018066e-02,6.858007609844207764e-02
-8.345837891101837158e-02,-3.247553855180740356e-02,-3.383347392082214355e-02,1.725291088223457336e-02,-9.032467752695083618e-02,-3.651652485132217407e-02,8.295553736388683319e-03,1.531572360545396805e-02,-3.032392822206020355e-02
5.174958333373069763e-02,7.358381897211074829e-02,1.582305878400802612e-02,-3.476275503635406494e-02,-5.199636891484260559e-02,-5.199206992983818054e-02,9.741054964251816273e-04,8.664810657501220703e-02,1.830184459686279297e-02
-2.504727337509393692e-03,4.959076270461082458e-02,8.705603890120983124e-03,-2.732983231544494629e-02,-5.299407243728637695e-02,-3.952888026833534241e-02,-1.113055087625980377e-02,1.930586807429790497e-02,-1.409336086362600327e-02
1.465756259858608246e-02,2.538503520190715790e-02,1.166857127100229263e-02,1.414326727390289307e-01,-1.224782317876815796e-01,1.335568875074386597e-01,-2.399025950580835342e-03,8.761511743068695068e-02,-2.561921998858451843e-02
-1.134957683390780403e-09,4.532350939001617007e-09,6.594830015416164315e-09,-6.451658318695763228e-09,1.775553662430873203e-11,4.099067751894835965e-09,-4.682049858928394315e-09,5.851769291354003144e-09,7.358361919784783822e-09
3.048214875161647797e-02,7.055070996284484863e-02,-3.205876797437667847e-02,8.867882192134857178e-02,-8.581778407096862793e-02,4.659881442785263062e-02,-4.696447029709815979e-02,3.043781593441963196e-02,2.730217203497886658e-02
-2.295175008475780487e-02,1.124612465500831604e-01,2.224051021039485931e-02,-3.197178989648818970e-02,6.994777172803878784e-02,1.240395847707986832e-02,3.892454877495765686e-02,8.656442910432815552e-02,2.147417282685637474e-03
2.349706366658210754e-02,9.212915599346160889e-02,6.959279626607894897e-02,6.792686879634857178e-02,-8.045271784067153931e-02,5.505204573273658752e-02,-3.800789266824722290e-02,4.659230634570121765e-02,2.583608590066432953e-02
-2.938364446163177490e-02,2.266077324748039246e-03,5.202786996960639954e-03,-3.525090590119361877e-02,-7.498281449079513550e-02,9.740935638546943665e-03,-4.070006310939788818e-03,8.264073729515075684e-02,1.055298186838626862e-02
-3.967792168259620667e-02,3.931791335344314575e-02,1.775551028549671173e-02,3.979016840457916260e-02,-4.408586770296096802e-02,1.723326370120048523e-02,4.902152344584465027e-03,2.193526178598403931e-02,2.438178472220897675e-02
-2.126301638782024384e-02,-3.716516075655817986e-03,-1.393613405525684357e-03,-2.485133148729801178e-02,-1.735075935721397400e-02,-1.697366684675216675e-02,-1.112484256736934185e-03,-1.806731801480054855e-03,-5.901004653424024582e-03
7.153947954066097736e-04,4.029071331024169922e-02,2.560852840542793274e-02,2.627893723547458649e-02,-1.465721428394317627e-02,6.775244325399398804e-02,2.571639977395534515e-02,2.197016216814517975e-02,8.504416793584823608e-02
3.940391540527343750e-02,5.474195629358291626e-02,-2.976978756487369537e-02,9.358556009829044342e-03,-1.487428974360227585e-02,9.839338250458240509e-03,3.896641358733177185e-02,-3.583213314414024353e-02,4.629114270210266113e-02
4.582590609788894653e-02,5.835522338747978210e-02,2.768456563353538513e-02,6.002045422792434692e-02,-2.987897582352161407e-02,8.215580135583877563e-02,-6.233431398868560791e-03,4.042522236704826355e-02,1.177886277437210083e-01
1.044905558228492737e-02,-1.575784198939800262e-02,3.441429231315851212e-03,3.678297391161322594e-03,-6.324779987335205078e-02,-5.774947628378868103e-02,3.494001692160964012e-03,3.944532200694084167e-02,1.077207271009683609e-02
-5.370525270700454712e-02,2.929687686264514923e-02,-3.100175596773624420e-02,-3.245627135038375854e-02,-2.950570173561573029e-02,-4.600292537361383438e-03,3.830843418836593628e-02,-3.885329142212867737e-02,2.276486530900001526e-02
1.353512611240148544e-02,4.412794858217239380e-02,2.925268746912479401e-02,5.197250470519065857e-02,-2.106429450213909149e-02,2.839286252856254578e-02,-1.360032893717288971e-02,5.117007717490196228e-02,2.354269847273826599e-02
-3.692056238651275635e-02,1.829396933317184448e-02,-2.935818582773208618e-02,-9.861465543508529663e-02,-4.364522919058799744e-02,-5.271685495972633362e-02,-7.963508367538452148e-02,2.939565666019916534e-02,4.147916566580533981e-03
1.694762706756591797e-02,1.397819165140390396e-02,9.672748856246471405e-03,1.429728232324123383e-02,-6.698464276269078255e-04,-2.207683958113193512e-02,1.239805482327938080e-02,3.545407950878143311e-02,-2.231981232762336731e-02
-2.260005846619606018e-02,-2.533054538071155548e-02,-2.354757487773895264e-02,6.086033955216407776e-02,-9.677916765213012695e-02,2.405744604766368866e-02,-1.275026239454746246e-02,9.223683178424835205e-02,4.015195183455944061e-03
2.216004207730293274e-02,4.217678308486938477e-02,-1.642816886305809021e-02,-2.966666966676712036e-02,5.686464160680770874e-02,2.548643760383129120e-02,4.384743981063365936e-03,5.118835344910621643e-02,1.043645758181810379e-02
2.534185908734798431e-02,5.437379702925682068e-02,5.388828739523887634e-02,-2.833435684442520142e-02,-2.013885080814361572e-01,-5.635822936892509460e-02,5.677428096532821655e-02,7.418768107891082764e-02,2.158525399863719940e-02
-3.145771287904608471e-08,3.533538617261910986e-08,5.379081002843122405e-08,-2.689601785732520511e-08,5.152960014243035403e-08,5.447961726190442278e-08,-3.848672847084344539e-08,-1.123404924641135949e-08,-7.578684346754016588e-09
4.463808238506317139e-02,8.862804621458053589e-03,-1.200778782367706299e-02,1.011405512690544128e-02,-6.403884291648864746e-02,6.374223157763481140e-04,2.176213823258876801e-02,1.246138825081288815e-03,9.584038518369197845e-03
-3.357832900618973326e-09,-4.714737489308618024e-09,-2.887448946609083578e-09,-3.733097830860288013e-09,4.711502743504070168e-09,1.249943704095812791e-08,3.034149598235558187e-09,-4.707544354332071634e-10,1.298478835565219924e-08
-1.654688268899917603e-03,2.817389369010925293e-02,1.203013490885496140e-02,-2.229201421141624451e-02,9.008583612740039825e-03,-4.945955704897642136e-03,9.150649420917034149e-03,-6.360474508255720139e-03,-3.492885455489158630e-02
-2.602971531450748444e-02,-3.869981318712234497e-02,-2.182204648852348328e-02,1.419373136013746262e-02,-3.716393560171127319e-02,1.738381572067737579e-02,4.270057007670402527e-02,2.675463445484638214e-03,-1.987274736166000366e-02
-6.676032615615667964e-09,2.801158593968011701e-08,4.450332014016566973e-08,2.374071828015189567e-09,5.033379579799657222e-08,6.157242893323200406e-08,1.291306173101247623e-09,4.183509361155302031e-08,4.873333026012005575e-08
2.985041774809360504e-02,-1.277685258537530899e-02,-1.769566349685192108e-02,5.427256599068641663e-02,-4.066281020641326904e-02,-1.472656498663127422e-03,-2.690967358648777008e-02,-1.123172137886285782e-02,-2.912616916000843048e-02
-2.463461612478567986e-07,2.302989230429375311e-07,3.960684296089311829e-07,1.498294324164817226e-07,9.708865036373026669e-07,9.907847697832039557e-07,1.374477278659469448e-07,6.982472200434131082e-07,7.519301448155601975e-07
2.128988876938819885e-02,-9.902156889438629150e-02,-3.685877891257405281e-03,-9.136092662811279297e-02,1.213700473308563232e-01,7.173892855644226074e-02,-5.300626531243324280e-02,-1.052638888359069824e-01,-1.886433549225330353e-02
4.272217303514480591e-02,-4.970536753535270691e-02,6.903710961341857910e-02,6.845136731863021851e-02,-8.562248945236206055e-02,1.472347788512706757e-02,-8.563856035470962524e-02,7.607036828994750977e-02,4.926156252622604370e-02
1.254059025086462498e-03,3.510424494743347168e-02,-2.977174706757068634e-03,-5.174383521080017090e-02,-9.696421027183532715e-02,-5.168623104691505432e-02,4.229015856981277466e-02,1.052047759294509888e-01,2.689851075410842896e-02
-5.003158776162308641e-07,1.379151399305555969e-06,2.089071358568617143e-06,1.127462041949911509e-06,4.230031208862783387e-06,4.081416136614279822e-06,3.435333724155498203e-07,2.321442934771766886e-06,2.591046268207719550e-06
-5.541668459773063660e-02,-2.421678975224494934e-02,-5.354092270135879517e-02,8.659692853689193726e-02,-3.948606550693511963e-02,-1.974868625402450562e-01,-2.759765833616256714e-02,-8.901370316743850708e-02,-1.102179214358329773e-01
6.904963869601488113e-03,8.039639331400394440e-03,4.767224937677383423e-02,-7.587670348584651947e-03,1.699807681143283844e-02,3.099480271339416504e-02,2.786822989583015442e-02,1.677623018622398376e-02,-7.414883002638816833e-03
-4.023449495434761047e-02,-9.144757874310016632e-03,8.935967460274696350e-03,1.205426733940839767e-02,9.867681562900543213e-02,8.267665654420852661e-02,9.408287703990936279e-03,5.859409645199775696e-02,4.404977429658174515e-03
-2.943530119955539703e-02,6.333838216960430145e-03,9.684531018137931824e-03,-5.699104163795709610e-03,8.519478887319564819e-02,5.954291298985481262e-02,-2.228209562599658966e-02,3.393701836466789246e-02,2.155882306396961212e-02
-1.016599461436271667e-01,-6.307701021432876587e-02,-5.005728453397750854e-02,-2.069368585944175720e-02,9.228309988975524902e-02,-4.372652992606163025e-02,-6.045147776603698730e-02,-4.928180947899818420e-03,-6.697524338960647583e-02
-6.692671030759811401e-02,-8.797452598810195923e-02,-1.270206570625305176e-01,-2.135414928197860718e-01,-1.244480013847351074e-01,-1.338466852903366089e-01,-7.798044383525848389e-02,1.067316457629203796e-01,-3.278303518891334534e-02
1.121507957577705383e-02,2.726776339113712311e-02,2.700887061655521393e-02,1.671742796897888184e-01,-1.348079741001129150e-01,9.787896275520324707e-02,-2.268615737557411194e-02,-8.528843522071838379e-02,6.606580317020416260e-02
